Specimen_Collection_Date,Specimen_Collection_Location,Specimen_Collection_Location_Country,Specimen_Collection_Location_Longitude,Gene_Symbol,Specimen_Collection_Location_Latitude
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",Zhejiang Province,China,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,Greece,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,China,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",Irkutsk,Russian Federation,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,Brazil,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,Iran,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,China,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
2014,UnknownXXX,United Kingdom,-3.2765753,blaCblA,54.7023545
"",,,,blaCepS,
"",,,,blaDES,
"",,,,blaDHA,
"",,,,blaDHA,
"",,,,blaDHA,
"",,,,blaDHA,
"",,,,blaDHA,
"",,,,blaDHA,
"",,,,blaDHA,
"",,,,blaDHA,
"",,,,blaDHA,
"",,,,blaDHA,
"",,,,blaDHA,
"",,,,blaDHA,
"",,,,blaDHA,
"",,,,blaDHA,
2015,,Taiwan,,blaDHA,
12/28/2015,Amiens,France,,blaDHA,
"",,,,blaDHA,
2012,UnknownXXX,Malaysia,112.8471939,blaDHA,2.3923759
"",,,,blaDHA,
"",,,,blaDHA,
"",,,,blaDHA,
"",,,,blaDHA,
"",,,,blaDIM,
"",,,,blaEBR,
"",,,,blaERP,
"",,,,blaESP,
"",,,,blaEXO,
"",,,,blaF,
"",,,,blaFAR,
"",,,,blaFEZ,
"",,,,blaFIM,
"",,,,blaFONA,
"",,,,blaFONA,
"",,,,blaFONA,
"",,,,blaFONA,
"",,,,blaFONA,
"",,,,blaFONA,
"",,,,blaFOX,
"",,,,blaFOX,
"",,,,blaFOX,
15-Oct-15,Barcelona,Spain,,blaFOX,
2007," Bern",Switzerland,7.44722,blaFOX,46.94917
"",,,,blaFOX,
"",,,,blaFOX,
16-Sep-2014," Vinhphuc Province",Viet Nam,,blaFOX,
"",,,,blaFOX,
"",,,,blaFOX,
"",,,,blaFOX,
"",,,,blaFRI,
"",,,,blaFRI,
22-Jul-16,,Germany,,blaFRI,
"",,,,blaGES,
"",,,,blaGES,
"",,,,blaGES,
"",,,,blaGES,
"",,,,blaGES,
"",,,,blaGES,
"",,,,blaGES,
"",,,,blaGES,
"",,,,blaGES,
"",,,,blaGES,
"",,,,blaGES,
"",,,,blaGES,
"",,,,blaGES,
"",,,,blaGES,
"",,,,blaGES,
"",,,,blaGES,
"",,,,blaGES,
"",,,,blaGES,
"",,,,blaGES,
"",,,,blaGES,
"",,,,blaGES,
"",,,,blaGES,
"",,,,blaGES,
"",,,,blaGES,
"",,,,blaGES,
"",,,,blaGES,
"",,,,blaGES,
"",,,,blaGES,
"",,,,blaGES,
"",,,,blaGES,
"",,,,blaGES,
"",,,,blaGIM,
"",,,,blaGIM,
"",,,,blaGOB,
2008-01-29,UnknownXXX,United Kingdom,-3.2765753,blaGOB,54.7023545
"",,,,blaGOB,
"",,,,blaGOB,
"",,,,blaGOB,
"",,,,blaGOB,
"",,,,blaGOB,
2008-01-28,UnknownXXX,United Kingdom,-3.2765753,blaGOB,54.7023545
1990,UnknownXXX,Brazil,-53.2,blaGOB,-10.3333333
"",,,,blaGOB,
"",,,,blaGOB,
"",,,,blaGOB,
"",,,,blaGOB,
"",,,,blaGOB,
"",,,,blaGOB,
"",,,,blaGOB,
"",,,,blaGOB,
"",,,,blaHERA,
"",,,,blaHERA,
"",,,,blaHERA,
"",,,,blaHERA,
"",,,,blaHERA,
"",,,,blaHERA,
"",,,,blaHERA,
"",Northern Germany,Germany,,blaHMB,
"",,,,blaHUG,
"",,,,blaI,
"",,,,blaIMI,
"",,,,blaIMI,
"",,,,blaIMI,
"",,,,blaIMI,
"",,,,blaIMI,
"",,,,blaIMI,
"",,,,blaIMI,
2012,,Norway,,blaIMI,
"",,,,blaIMP,
"",,,,blaIMP,
"",,,,blaIMP,
"",,,,blaIMP,
"",,,,blaIMP,
"",,,,blaIMP,
"",,,,blaIMP,
"",,,,blaIMP,
"",,,,blaIMP,
"",,,,blaIMP,
"",,,,blaIMP,
"",,,,blaIMP,
"",,,,blaIMP,
"",,,,blaIMP,
"",,,,blaIMP,
"",,,,blaIMP,
"",,,,blaIMP,
"",,Korea (South),,blaIMP,
"",,,,blaIMP,
"",,,,blaIMP,
"",,,,blaIMP,
"",,,,blaIMP,
"",,,,blaIMP,
"",,,,blaIMP,
"",,,,blaIMP,
"",,,,blaIMP,
"",,,,blaIMP,
"",,,,blaIMP,
"",,,,blaIMP,
"",,,,blaIMP,
"",,,,blaIMP,
"",,,,blaIMP,
"",,,,blaIMP,
"",,,,blaIMP,
"",,,,blaIMP,
"",,,,blaIMP,
"",,,,blaIMP,
"",,,,blaIMP,
"",,,,blaIMP,
"",,,,blaIMP,
"",,Portugal,,blaIMP,
"",,,,blaIMP,
"",,,,blaIMP,
"",,,,blaIMP,
"",,,,blaIMP,
2013,,Iran,,blaIMP,
"",,,,blaIMP,
"",,,,blaIMP,
"",,,,blaIMP,
"",,,,blaIMP,
"",,,,blaIMP,
"",,,,blaIMP,
"",,,,blaIND,
"",,,,blaIND,
"",,,,blaIND,
"",,,,blaIND,
2007-10-10," GA",United States of America,-83.1137366,blaIND,32.3293809
"",,,,blaIND,
2013,Guangxi,China,109.0,blaIND,24.0
"",,,,blaIND,
"",,,,blaIND,
"",,,,blaIND,
"",,,,blaIND,
"",,,,blaIND,
"",,,,blaIND,
"",,,,blaIND,
2008-01-22,UnknownXXX,United Kingdom,-3.2765753,blaIND,54.7023545
"",,,,blaJOHN,
2009,UnknownXXX,United Kingdom,-3.2765753,blaKHM,54.7023545
"",,,,blaKLUC,
"",,,,blaKLUC,
"",,,,blaKPC,
"",,,,blaKPC,
"",,,,blaKPC,
"",,,,blaKPC,
"",,,,blaKPC,
"",,,,blaKPC,
"",,,,blaKPC,
"",,,,blaKPC,
"",,,,blaKPC,
"",,,,blaKPC,
""," Kiel",Germany,10.1371858,blaKPC,54.3216753
"",,,,blaKPC,
"",,,,blaKPC,
"",,,,blaKPC,
"",,,,blaKPC,
Nov-06,,,,blaKPC,
"",,,,blaKPC,
"",,,,blaKPC,
"",,,,blaKPC,
"",,,,blaKPC,
"",,,,blaKPC,
Oct-2011," Perak",Malaysia,100.9276057,blaL,4.7916539
"",,,,blaLAP,
"",,China,,blaLAP,
"",,,,blaLAT,
"",,,,blaLCR,
"",,,,blaLEN,
"",,,,blaLEN,
"",,,,blaLEN,
"",,,,blaLEN,
"",,,,blaLEN,
"",,,,blaLEN,
"",,,,blaLEN,
"",,,,blaLEN,
"",,,,blaLEN,
"",,,,blaLEN,
"",Barcelona,Spain,,blaLEN,
"",,,,blaLEN,
"",,,,blaLEN,
"",,,,blaLEN,
"",,,,blaLEN,
"",,,,blaLEN,
"",,,,blaLEN,
"",,,,blaLEN,
"",,,,blaLEN,
"",,,,blaLEN,
"",,,,blaLEN,
"",,,,blaLEN,
"",,,,blaLEN,
"",,,,blaLEN,
"",,,,blaLEN,
"",,,,blaLEN,
"",,,,blaLEN,
"",,,,blaLEN,
2014,UnknownXXX,United Kingdom,-3.2765753,blaLRA,54.7023545
"",Alaska,United States of America,,blaLRA,
"",Alaska,United States of America,,blaLRA,
"",Alaska,United States of America,,blaLRA,
"",Alaska,United States of America,,blaLRA,
"",Alaska,United States of America,,blaLRA,
"",Alaska,United States of America,,blaLRA,
"",Alaska,United States of America,,blaLRA,
"",Alaska,United States of America,,blaLRA,
"",Alaska,United States of America,,blaLRA,
"",Alaska,United States of America,,blaLRA,
"",Alaska,United States of America,,blaLRA,
"",Alaska,United States of America,,blaLRA,
21-Dec-2012,UnknownXXX,Canada,-107.9917071,blaLUT,61.0666922
"",,,,blaMAL,
"",,,,blaMIR,
"",,,,blaMIR,
"",,,,blaMIR,
"",,,,blaMIR,
"",,,,blaMIR,
"",,,,blaMIR,
"",,,,blaMIR,
"",,,,blaMIR,
"",,,,blaMIR,
"",,,,blaMIR,
"",,,,blaMIR,
2015,UnknownXXX,Thailand,100.83273,blaMIR,14.8971921
"",,China,,blaMIR,
"",,,,blaMIR,
"",,,,blaMIR,
"",,,,blaMIR,
"",,,,blaMIR,
"",,,,blaMOX,
"",,,,blaMOX,
"",,,,blaMOX,
"",,,,blaMOX,
"",,,,blaMOX,
"",Clinical University Hospital from Zaragoza,Spain,,blaMOX,
"",,,,blaMOX,
"","Zaragoza, University Hospital Lozano Blesa",Spain,,blaMOX,
"","Zaragoza, University Hospital Lozano Blesa",Spain,,blaMOX,
"","Zaragoza, University Hospital Lozano Blesa",Spain,,blaMOX,
"",,,,blaMOX,
"",UnknownXXX,Australia,131.606,blaMOX,-12.8914
"",,,,blaMSI,
"",,,,blaMSI,
"",,,,blaMUS,
"",UnknownXXX,United States of America,-100.4458825,blaMUS,39.7837304
"",,,,blaNDM,
"",,,,blaNDM,
"",,,,blaNDM,
"",,,,blaNDM,
"",,,,blaNDM,
"",,,,blaNDM,
"",,,,blaNDM,
"",,,,blaNDM,
2015,shandong province,China,,blaNDM,
"",,,,blaNDM,
"",,,,blaNDM,
"",,,,blaNDM,
"",,,,blaNDM,
"",,,,blaNDM,
"",,,,blaNDM,
"",,,,blaNDM,
"",,,,blaNDM,
"",,,,blaNMC,
"",,,,blaNPS,
"",,,,blaNmcR,
02-Aug-2008," Ontario",Canada,-86.000977,blaOCH,50.000678
1997,UnknownXXX,Brazil,-53.2,blaOCH,-10.3333333
"",,,,blaOCH,
28-Jan-2008," Ontario",Canada,-86.000977,blaOCH,50.000678
"",,,,blaOCH,
2010,UnknownXXX,United Kingdom,-3.2765753,blaOCH,54.7023545
11-Jan-2011,UnknownXXX,United States of America,-100.4458825,blaOCH,39.7837304
2011," Milano",Italy,9.1904984,blaOCH,45.4667971
"",,,,blaOKP-A,
"",,,,blaOKP-A,
"",,,,blaOKP-A,
"",,,,blaOKP-A,
"",,,,blaOKP-A,
"",,,,blaOKP-A,
2008,,China,,blaOKP-A,
2008,,China,,blaOKP-A,
"",,,,blaOKP-A,
"",,,,blaOKP-A,
"",,,,blaOKP-A,
"",,,,blaOKP-A,
"",,,,blaOKP-A,
"",,,,blaOKP-A,
"",,,,blaOKP-A,
"",,,,blaOKP-A,
"",,,,blaOKP-B,
"",,,,blaOKP-B,
"",,,,blaOKP-B,
"",,,,blaOKP-B,
"",,China,,blaOKP-B,
"",,,,blaOKP-B,
"",,,,blaOKP-B,
"",,,,blaOKP-B,
"",,,,blaOKP-B,
"",,,,blaOKP-B,
"",,,,blaOKP-B,
"",,,,blaOKP-B,
"",,,,blaOKP-B,
"",,,,blaOKP-B,
"",,,,blaOKP-B,
"",,,,blaOKP-B,
"",,,,blaOKP-B,
"",,,,blaOKP-B,
"",,,,blaORN,
"",,,,blaOXA,
1990-11-19," PA",United States of America,-77.7278831,blaOXA,40.9699889
"",,,,blaOXA,
"",,,,blaOXA,
1997,UnknownXXX,Brazil,-53.2,blaOXA,-10.3333333
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
""," WA",United States of America,-120.2126139,blaOXA,47.2868352
"",,,,blaOXA,
2010,UnknownXXX,Haiti,-72.3570972,blaOXA,19.1399952
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
11-Sep-2013," North Carolina",United States of America,-79.0392919,blaOXA,35.6729639
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",Agrigento,Italy,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
1980-08-06," CO",United States of America,-105.6077167,blaOXA,38.7251776
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
Apr-2012,UnknownXXX,United States of America,-83.39,blaOXA,41.22
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",UnknownXXX,,,blaOXA,53
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",Marseille,France,5.3699525,blaOXA,43.2961743
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
1992,Praha,Czech Republic,,blaOXA,
"",,,,blaOXA,
2000,Praha,Czech Republic,,blaOXA,
1992,Liberec,Czech Republic,,blaOXA,
1992,Praha,Czech Republic,,blaOXA,
1994,Tabor,Czech Republic,,blaOXA,
"",,,,blaOXA,
1993,C. Budejovice,Czech Republic,,blaOXA,
1972,Tel Baruch,Israel,,blaOXA,
"",Rampuse,Czech Republic,,blaOXA,
"",,,,blaOXA,
"",,Czech Republic,,blaOXA,
"",,,,blaOXA,
1995/2002,,United States of America,,blaOXA,
1995/2002,,United States of America,,blaOXA,
1900/1966,,,,blaOXA,
"",,,,blaOXA,
1900/1950,,,,blaOXA,
1998,Sedlcany,Czech Republic,,blaOXA,
1998,Sedlcany,Czech Republic,,blaOXA,
1998,Pribram,Czech Republic,,blaOXA,
"",,,,blaOXA,
1996,Pribram,Czech Republic,,blaOXA,
"",,,,blaOXA,
2008,Rampuse,Czech Republic,,blaOXA,
"",,,,blaOXA,
1997,Pribram,Czech Republic,,blaOXA,
1952,,France,,blaOXA,
1951,,France,,blaOXA,
1964,,Germany,,blaOXA,
1900/1983,,United States of America,,blaOXA,
"",,,,blaOXA,
2007-11-30,UnknownXXX,United Kingdom,-3.2765753,blaOXA,54.7023545
2011,Lisov,Czech Republic,,blaOXA,
1990,,France,,blaOXA,
1993/1994,N. Rhine Westphalia,Denmark,,blaOXA,
"",Leiden,Netherlands,,blaOXA,
2014,UnknownXXX,United Kingdom,-3.2765753,blaOXA,54.7023545
"",UnknownXXX,United States of America,-100.4458825,blaOXA,39.7837304
2008,Pribram,Czech Republic,,blaOXA,
1991,"Bendigo, Victoria",Australia,,blaOXA,
"",,,,blaOXA,
1991,Praha,Czech Republic,,blaOXA,
1960,,,,blaOXA,
"",,Germany,,blaOXA,
2010,Ostrava,Czech Republic,,blaOXA,
1990/1991,,Denmark,,blaOXA,
1990/1991,,Denmark,,blaOXA,
1900/1989,PA,France,,blaOXA,
1991,"Bendigo, Victoria",Australia,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
2013-01-09,UnknownXXX,United States of America,-82.5,blaOXA,40.5
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
2015,UnknownXXX,United Kingdom,-3.2765753,blaOXA,54.7023545
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,Spain,,blaOXA,
"",,Thailand,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
30-Jul-11,Chicago,United States of America,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
1997,UnknownXXX,United States of America,-100.4458825,blaOXA,39.7837304
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,United States of America,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
2012," Helsinki",Finland,24.9425683,blaOXA,60.1674086
2012-07-11," CA",United States of America,-118.7559974,blaOXA,36.7014631
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
"",,,,blaOXA,
